ID,X,Y,H,Sal
38328,349118.3655,6032757.9025,0.5292327578784816,47.52494593880145
38329,349227.1025,6032816.29,0.5292302205383537,47.522381021520054
38330,349196.27925,6032778.2775,0.5292272364247421,47.51190455224406
38331,349257.713,6032855.387499999,0.529233349642501,47.533252527311916
38332,349514.13975,6033119.529999999,0.5292458088174352,47.581549819336985
38333,349648.6475,6033153.65,0.5292336578853302,47.54975570255005
38334,349581.77925,6033137.1025,0.5292398358415943,47.56598449415612
38335,349750.8815,6033216.9925,0.5292300055252519,47.54222659838309
38336,349718.588,6033176.077500001,0.5292278410299021,47.534718115745605
38337,349809.365,6033221.9325,0.5292227244231794,47.52237357941037
38338,349867.51125,6033228.12,0.5292155956113938,47.50299684104414
38339,349897.40674999997,6033267.4575,0.529217599633137,47.50979935854617
38340,350318.18925,6033324.1850000005,0.5291645145307444,47.365783239783745
38341,350266.66025,6033327.225,0.5291728015471474,47.38846287167699
38342,350215.55325,6033330.8825,0.5291810574252667,47.411130593740296
38343,350161.67575,6033330.99,0.5291891211347878,47.43324494363304
38344,350102.78674999997,6033324.5075,0.5291968398841925,47.454290137886744
38345,350035.7455,6033307.390000001,0.5292039992926365,47.47353273809197
38346,349963.86025,6033283.735,0.5292106882044293,47.49126940063162
38347,350401.9845,6033363.3774999995,0.5291575606256996,47.34759506578012
38348,350371.9475,6033324.055,0.5291562633347502,47.343318462939365
38349,350462.08924999996,6033442.0225,0.5291598826523536,47.355271919975465
38350,350432.0295,6033402.699999999,0.5291587644168559,47.35157553332841
38351,350468.145,6033520.47,0.529170411207914,47.38533705702077
38352,350498.21175,6033559.7524999995,0.5291713410363035,47.388408620845915
38353,350528.36,6033599.01,0.529172160248583,47.39113627163327
38354,350558.501,6033637.7325,0.5291728206582145,47.39336664172921
38355,350588.61475,6033674.2125,0.5291730876422207,47.394440986092654
38356,350898.15025,6033975.3675,0.5291619382073262,47.364300489605625
38357,350828.238,6033953.4625,0.5291710654607507,47.38985341117356
38358,350617.78875,6033711.3875,0.5291735319666172,47.39596741639229
38359,350645.79025,6033748.725000001,0.5291741233226996,47.39785288101544
38360,350677.206,6033779.96,0.529173220604955,47.395518952761755
38361,350751.5453333333,6033910.286666667,0.5291783727630417,47.410303858232275
