ID,X,Y,H,Sal
35111,346994.98575,6035936.2575,0.35315327741015456,52.85984221020291
35112,346922.3855,6035924.3575,0.3532240933739707,52.874033640465605
35113,347064.50974999997,6035949.825,0.3530849770619237,52.84615487391326
35114,346858.1415,6035897.6225000005,0.35324673665224776,52.87862028499883
35115,346760.6255,6035915.2225,0.35340211616542566,52.909679720031924
35116,346668.717,6035921.96,0.3535187190617661,52.93300218578721
35117,346568.25475,6035834.452500001,0.3534169307254389,52.912885076944605
35118,346614.9025,6035882.07,0.35348292889129235,52.92595162656332
35119,346442.77375,6035680.28,0.35314936875312825,52.85983924249019
35120,346534.31,6035672.8425,0.35305593329881724,52.84108704669505
35121,346575.78625,6035726.4350000005,0.353150907269898,52.859928489147805
35122,346400.225,6035627.795,0.35304838352513507,52.83981538695171
35123,346194.53500000003,6035464.215,0.3527378041009894,52.778406334310176
35124,346319.46175,6035519.175,0.35281875416916836,52.794260011714314
35125,346281.316,6035461.885,0.35268766658314293,52.76823984954941
35126,346358.76975,6035574.83,0.35294015530596407,52.81835007374025
35127,347946.091,6036168.125,0.3519000697982909,52.60883765016099
35128,347972.3195,6036227.15,0.3519411339821117,52.61706591940356
35129,347996.39925,6036288.13,0.3519863158368953,52.62612396349789
35130,348116.50724999997,6036350.305,0.3518078080990519,52.59039374047861
35131,348084.3785,6036296.0024999995,0.35179916979774306,52.5886450714594
35132,348139.00075,6036412.985,0.35184703508124227,52.598276464629414
35133,348236.166,6036493.5,0.3517256699914709,52.57401760221178
35134,348212.07825,6036432.2275,0.35169980775590876,52.56880094831097
35135,348276.83574999997,6036540.422499999,0.35168735969255566,52.56637754938262
35136,348333.9475,6036572.8149999995,0.3515855844516939,52.54601932491576
35137,348391.47125,6036604.6325,0.35147860758257005,52.52461838630158
35138,348540.1355,6036636.145,0.351127763726752,52.45434299806769
35139,348491.828,6036597.09,0.35120972044801246,52.4707311002207
35140,348599.59924999997,6036664.785,0.35100113672308864,52.42898930307054
35141,347571.31724999996,6035983.7425,0.35231807935493986,52.69261811791198
35142,347654.037,6036000.8025,0.3521954312006309,52.66804396545087
35143,347731.37675,6036020.085,0.3520808960932291,52.64509104111149
35144,347810.419,6036037.465,0.35195446179689105,52.61975382030203
35145,347906.12825,6036041.0225,0.3517626713378831,52.581317451563095
35146,347958.96475000004,6036078.077500001,0.3517162992457242,52.57201696455122
35147,347484.14650000003,6035961.365,0.3524323145593518,52.715511068866725
35148,347388.7473333333,6035965.11,0.3526063041084361,52.75034264869351
35149,347294.0245,6035954.75,0.35274341936392034,52.77779942127007
35150,347241.835,6035914.845000001,0.35274372257926756,52.77790779643026
35151,347156.1485,6035926.74,0.3529009216649447,52.80935757466708
35152,347035.04175,6035873.3725,0.3529607328813769,52.82141533167503
35153,346965.44550000003,6035860.3525,0.3530262399995931,52.8345558350674
35154,347102.60250000004,6035889.8825,0.3529011800539918,52.80946505592098
35155,346902.66375,6035836.9425,0.3530547903052719,52.840322786317756
35156,346807.17325,6035855.6675,0.35321353950711787,52.872071319441886
35157,346716.43125,6035865.5075,0.35333870565850817,52.89711260935035
35158,346617.82825,6035779.0225,0.3532380263164783,52.877207743648626
35159,346666.455,6035822.7,0.35329252937234185,52.887987815747415
35160,346491.72,6035620.9175,0.35296119527445774,52.82229679745343
35161,346622.458,6035666.45,0.3529603629394076,52.821911554005986
35162,346581.36225,6035612.515,0.3528638112152993,52.80274792317702
35163,346449.081,6035568.745,0.35286103916840184,52.80243024059338
35164,346243.16025,6035404.455,0.3525516055161036,52.741229513795645
35165,346367.5225,6035459.4875,0.35263012319788883,52.75660162693021
35166,346328.82575,6035401.96,0.35249849392312793,52.73046395600659
35167,346407.34375,6035515.37,0.35275195029628004,52.78078541537817
35168,348001.77150000003,6036123.1475,0.35170185131987086,52.56911940667819
35169,348027.89,6036181.74,0.3517429681887198,52.57736214511622
35170,348051.85375,6036242.2775,0.3517884357631198,52.58648190770402
35171,348171.28525,6036304.1274999995,0.3516096695490773,52.550681801978804
35172,348139.36475,6036250.175,0.3516007773410263,52.54888179745802
35173,348193.6275,6036366.3725000005,0.35164965731973236,52.55872094062016
35174,348290.1765,6036446.42,0.35152927880690066,52.53464753528077
35175,348266.29125,6036385.547499999,0.35150239689376617,52.52922394570787
35176,348330.5645,6036493.0525,0.35149168730812097,52.527147496386945
35177,348387.348,6036525.245,0.35139032318928176,52.50686163713871
35178,348444.539,6036556.8675,0.3512838381354897,52.48554879556306
35179,348592.23375,6036588.32,0.35093423101101473,52.415487591160655
35180,348544.27525,6036549.4875,0.35101519513258106,52.431684661627
35181,348651.31425,6036616.7825,0.3508083644954701,52.390274104511214
35182,347549.9635,6035925.9025,0.35224294367624354,52.67761141530319
35183,347632.064,6035941.355,0.3521214567900697,52.653260154331335
35184,347712.0375,6035956.4475,0.35199775623136237,52.628463810811134
35185,347788.457,6035975.765000001,0.35188357234742595,52.6055702436492
35186,347866.98099999997,6035993.175,0.35175651064321345,52.58009457755219
35187,348014.59675,6036033.7375,0.3515174134817368,52.53214675279638
35188,347962.1005,6035996.855,0.35156398057517624,52.541490971635106
35189,347404.12725,6035907.7875,0.3524630614535847,52.72171857376635
35190,347464.2436666667,6035908.61,0.3523608316877201,52.7012417740828
35191,347335.1105,6035893.390000001,0.35254851408563875,52.7388480956519
35192,347282.81775,6035854.005,0.3525496873141862,52.739132988045256
35193,347197.5465,6035865.4175,0.35270703333466064,52.770630169875595
35194,347078.12225,6035812.1775,0.3527649851777427,52.782326170073446
35195,347008.94425,6035798.9125,0.352830525005126,52.79548253536826
35196,347144.624,6035828.945,0.3527066561060352,52.77061217280473
35197,346946.3945,6035775.725,0.35285956880433483,52.8013527582105
35198,346852.47075,6035795.2525,0.3530212510491179,52.83370412883133
35199,346763.3115,6035805.2175,0.353147648627191,52.85900547079122
35200,346664.83775,6035719.05,0.35304756474216287,52.83921332562962
35201,346714.13825,6035762.3875,0.35310054319700196,52.84969204189791
35202,346538.66524999996,6035560.5075,0.35276870703267066,52.78387769376358
35203,346626.9885,6035551.91,0.35266919932004326,52.76389411057192
35204,346668.23675000004,6035605.9175,0.3527662560542673,52.78316547024249
35205,346495.80700000003,6035508.555,0.352669085839436,52.76411040780693
35206,346290.25049999997,6035344.1925,0.3523613237077531,52.703221598070634
35207,346414.00325,6035399.235,0.35243783749727947,52.71819765846771
